Array Size,CPU Sort (Integers) ms,GPU Sort (Integers) ms,CPU Sort (Floats) ms,GPU Sort (Floats) ms,CPU Sort (Integers) ms,GPU Sort (Integers) ms,CPU Sort (Floats) ms,GPU Sort (Floats) ms
1598,246691,179081,361385,184083,0.246691,0.179081,0.361385,0.184083
2397,384427,200427,536086,214821,0.384427,0.200427,0.536086,0.214821
3596,616516,214564,870133,293405,0.616516,0.214564,0.870133,0.293405
5394,1135508,422016,1117739,459575,1.135508,0.422016,1.117739,0.459575
8091,1654768,420281,2075485,423481,1.654768,0.420281,2.075485,0.423481
12137,2308758,419892,3092822,435383,2.308758,0.419892,3.092822,0.435383
18206,3608110,588471,6251017,680233,3.60811,0.588471,6.251017,0.680233
27309,5702921,757757,11056571,890440,5.702921,0.757757,11.056571,0.89044
40964,8960424,1064046,15258351,1151871,8.960424,1.064046,15.258351,1.151871
61446,13988781,1455281,26302733,1498903,13.988781,1.455281,26.302733,1.498903
92169,21467803,2026319,40588421,2153675,21.467803,2.026319,40.588421,2.153675
138254,33073607,2893851,56441092,3171004,33.073607,2.893851,56.441092,3.171004
207381,51729276,4175116,82211236,4180435,51.729276,4.175116,82.211236,4.180435
311072,78428760,6071374,124169676,6230212,78.42876,6.071374,124.169676,6.230212
466608,123469841,8763348,194652546,8847348,123.469841,8.763348,194.652546,8.847348
699912,187773430,12791933,306897449,12964637,187.77343,12.791933,306.897449,12.964637
1049868,288023976,18736767,497904180,19043441,288.023976,18.736767,497.90418,19.043441
1574802,451184246,27482417,907971761,28279970,451.184246,27.482417,907.971761,28.27997
2362203,686936220,40524749,1408026483,41495778,686.93622,40.524749,1408.026483,41.495778
3543305,1058032968,60484871,2271854603,61193689,1058.032968,60.484871,2271.854603,61.193689
5314958,1616126343,89182104,3697632604,91460329,1616.126343,89.182104,3697.632604,91.460329
7972437,2563210865,134512220,5894191773,137643674,2563.210865,134.51222,5894.191773,137.643674
11958656,3822199916,238357131,9418668944,207613664,3822.199916,238.357131,9418.668944,207.613664
17937984,5990864540,347464428,15216310173,332045339,5990.86454,347.464428,15216.310173,332.045339
26906976,9651502385,499528526,24414849876,489041531,9651.502385,499.528526,24414.849876,489.041531
40360464,14019557164,756111027,39529136563,745807736,14019.557164,756.111027,39529.136563,745.807736
60540696,21864520718,1132253670,64577553384,1105384413,21864.520718,1132.25367,64577.553384,1105.384413
90811044,32798262126,1726489187,117811072551,1675179529,32798.262126,1726.489187,117811.072551,1675.179529
